,gameIds,timeStamps,queues,seasons
33524,2632709632,1509395093848,420,9
33525,2632720779,1509392021097,420,9
33526,2632677473,1509389284847,420,9
33527,2628297281,1508890846238,420,9
33528,2624826386,1508533458721,420,9
33529,2624830013,1508531202189,420,9
33530,2624733101,1508528841784,420,9
33531,2624667728,1508526179121,420,9
33532,2624664650,1508524646492,420,9
33533,2624670262,1508522392103,420,9
33534,2624655900,1508520356710,420,9
33535,2624298985,1508463436947,420,9
33536,2624268474,1508460962854,420,9
33537,2679022432,1514168426845,450,9
33538,2677460673,1513996651665,430,9
33539,2676618170,1513918435185,430,9
33540,2676597167,1513917860883,430,9
33541,2676055824,1513842643511,430,9
33542,2676048071,1513840444288,430,9
33543,2676009588,1513837495346,430,9
33544,2676016035,1513836994470,430,9
33545,2675978474,1513834851154,430,9
33546,2675960339,1513833050655,430,9
33547,2675909133,1513830751266,430,9
33548,2675868218,1513826960492,430,9
33549,2675815976,1513824299755,430,9
33550,2673624423,1513573631851,430,9
33551,2673613763,1513573143961,430,9
33552,2673596479,1513571685261,430,9
33553,2673554976,1513568999787,430,9
33554,2673525003,1513566769191,430,9
33555,2673497752,1513565145422,430,9
33556,2673025191,1513547132368,430,9
33557,2674563720,1513721056765,1010,9
33558,2674519336,1513719496929,1010,9
33559,2674513695,1513717967669,1010,9
33560,2674486898,1513715942559,1010,9
33561,2672480594,1513476483888,400,9
33562,2672418735,1513473543861,400,9
33563,2672402821,1513471649461,400,9
33564,2672359296,1513468227639,400,9
33565,2671003642,1513311890041,400,9
33566,2670992176,1513311241448,400,9
33567,2670963705,1513309295285,400,9
33568,2670933574,1513307002946,400,9
33569,2670893485,1513304629579,400,9
33570,2670819025,1513298802098,400,9
33571,2666444163,1512797826896,400,9
33572,2666414824,1512795561561,400,9
33573,2661392425,1512255812856,400,9
33574,2661348457,1512254446044,400,9
33575,2661313997,1512250711550,400,9
33576,2661293067,1512247880250,400,9
33577,2671293298,1513372177866,420,9
33578,2669928241,1513212457583,420,9
33579,2669915437,1513209593402,420,9
33580,2669775271,1513195904775,420,9
33581,2669194183,1513118697958,450,9
33582,2669167537,1513116923035,420,9
33583,2669118428,1513113500237,420,9
33584,2668403362,1513038532546,420,9
33585,2668373800,1513035564215,420,9
33586,2668291537,1513026505343,420,9
33587,2664834413,1512599665599,430,9
33588,2664186429,1512532559052,420,9
33589,2664164555,1512530000380,420,9
33590,2664061187,1512521355236,420,9
33591,2663144658,1512432455178,420,9
33592,2663095253,1512429133571,420,9
33593,2663090392,1512427443172,420,9
33594,2663027505,1512419159701,420,9
33595,2657879513,1511839693684,430,9
33596,2657845350,1511836677552,430,9
33597,2679570845,1514250581050,1010,9
33598,2679527113,1514248853604,1010,9
33599,2679540746,1514247417264,1010,9
33600,2679461752,1514240288444,1010,9
33601,2679163157,1514182470661,1010,9
33602,2679146115,1514180832708,1010,9
33603,2679119213,1514178915842,1010,9
33604,2677498143,1514000651729,1010,9
33605,2677474436,1513999316176,1010,9
33606,2677445785,1513997300506,1010,9
33607,2677429498,1513996089165,1010,9
33608,2677433658,1513994899843,1010,9
33609,2677388944,1513993191045,1010,9
33610,2677381821,1513991341393,1010,9
33611,2675877014,1513828350092,1010,9
33612,2675868579,1513827013085,1010,9
33613,2675108427,1513746024906,1010,9
33614,2674453857,1513711565759,1010,9
33615,2674245746,1513663717041,920,9
33616,2673480059,1513563172236,850,9
33617,2677356127,1513989935696,440,9
33618,2677326601,1513987281785,440,9
33619,2677320455,1513985396462,440,9
33620,2677275080,1513981573866,440,9
33621,2673458759,1513563318251,440,9
33622,2673450913,1513561611353,440,9
33623,2673245120,1513557802579,440,9
33624,2673159990,1513553601546,440,9
33625,2668911399,1513059112753,400,9
33626,2668858055,1513057483109,450,9
33627,2648816517,1511053704897,440,9
33628,2648776592,1511051175644,440,9
33629,2648644690,1511037045916,440,9
33630,2641721365,1510351371731,440,9
33631,2639068157,1510117920134,420,9
33632,2639058316,1510115607509,420,9
33633,2639049774,1510113557617,420,9
33634,2638975850,1510110131698,420,9
33635,2638854856,1510100158841,420,9
33636,2638844965,1510097775723,420,9
33637,2679151917,1514179979313,420,9
33638,2678974494,1514162516262,1010,9
33639,2678959904,1514160520278,1010,9
33640,2678935423,1514159189679,1010,9
33641,2678904374,1514157934948,1010,9
33642,2678783215,1514147711010,1010,9
33643,2678750694,1514146023261,1010,9
33644,2678673882,1514144086362,420,9
33645,2678629027,1514142574695,420,9
33646,2678232124,1514092066254,1010,9
33647,2678213124,1514090238367,1010,9
33648,2678021715,1514074063715,1010,9
33649,2677995504,1514072129415,1010,9
33650,2677979907,1514069962308,1010,9
33651,2676715412,1513924823939,1010,9
33652,2676668587,1513922961264,1010,9
33653,2676670245,1513921156746,1010,9
33654,2675915344,1513829968701,1010,9
33655,2675875647,1513828093869,1010,9
33656,2675863697,1513826058808,1010,9
33657,2676542089,1513912674853,450,9
33658,2676461873,1513906461785,420,9
33659,2676420565,1513903498935,420,9
33660,2676383392,1513901564381,420,9
33661,2676252912,1513886739287,420,9
33662,2676030301,1513837814189,420,9
33663,2675992956,1513835951337,420,9
33664,2675983270,1513834135973,420,9
33665,2675943637,1513831812979,420,9
33666,2675910783,1513829202738,420,9
33667,2674782919,1513735824126,420,9
33668,2674714418,1513732628872,420,9
33669,2674674616,1513730307918,450,9
33670,2674102323,1513651055698,420,9
33671,2674084079,1513649245874,420,9
33672,2674054015,1513646859166,420,9
33673,2673559370,1513570123699,420,9
33674,2673539475,1513567904079,420,9
33675,2673520012,1513565764660,420,9
33676,2672943368,1513540293409,430,9
33677,2678099404,1514082493136,440,9
33678,2676588826,1513916573981,400,9
33679,2676355205,1513899336485,440,9
33680,2675583511,1513804895058,450,9
33681,2675557931,1513803577757,1010,9
33682,2675534272,1513801930875,1010,9
