,Champ1,Champ1Points,Champ2,Champ2Points,Champ3,Champ3Points,accountIds,summonerIds,totalChampScores,name,rank
144,236,98502,81,67552,64,66176,34734000,21369243,379,kidD trunks,PLATINUM
145,81,390905,202,259772,236,251220,42902767,28810882,356,MasterDaniel,DIAMOND
146,154,78404,107,70065,113,66672,204487111,41681360,397,SupaIsntAPenguin,DIAMOND
147,56,42801,44,40976,80,32239,33559149,20543876,158,Discsinthesky,DIAMOND
148,92,92351,67,50947,96,41806,237123847,83940705,195,lShad0wl,DIAMOND
149,92,355093,429,86377,114,86152,204581567,41705902,456,iQT,DIAMOND
150,98,402872,267,72024,412,56414,214228552,51500987,378,Kinkou Shikari,SILVER
151,236,91980,99,78262,25,73615,42952341,29594129,429,EL DRAGON SENSEI,SILVER
152,35,255820,157,117266,236,101540,228780127,67779179,359,Tr24,GOLD
153,157,131004,236,54647,245,50698,229352968,68722855,146,BBlackCoffee,SILVER
154,85,78369,25,70187,34,68780,221986761,60769709,359,Bo Sua 7 Mau,SILVER
155,131,246606,157,200363,5,144583,222906839,61160471,326,thenewbie98,GOLD
156,60,161224,154,138441,51,129556,230989459,71780368,355,Toshiro Uzumaki,SILVER
157,236,256324,114,186209,67,155730,227506700,65641210,380,Setton,SILVER
158,67,184446,5,115525,24,79508,32284031,19590146,254,BlackDragoonKiD,SILVER
159,22,165490,21,137173,89,112215,43515875,29227312,197,RX4967ghoust,GOLD
160,120,124223,64,92175,107,89615,202063003,39259104,433,HolyBojangles,PLATINUM
161,412,496571,25,138163,67,114511,40727681,26064277,338,Green Phantom,DIAMOND
162,51,362682,67,182741,22,86592,34271014,21039987,122,Cait Is My Mate,PLATINUM
163,8,62212,99,26220,21,23524,32988055,20144329,62,jeddaaa,PLATINUM
164,61,104901,102,92991,113,57440,217993983,55977728,386,Foreign,PLATINUM
165,115,148258,122,106669,45,102809,43604817,29451713,214,Genocc,PLATINUM
166,51,249191,236,201892,119,116896,46152128,31611419,293,Sarko 5,DIAMOND
167,67,300543,64,68100,236,65347,38529313,24241886,175,Crownn of Thorns,GOLD
168,19,144230,33,38291,134,31016,237165215,83751739,180,NA Pizza,DIAMOND
169,92,305686,64,176562,157,101025,45081964,30683567,420,Oh Oh Ah Ah,DIAMOND
170,4,83159,268,53307,105,44380,35640234,28332396,329,ToadySim,SILVER
171,67,176437,105,79046,222,72825,233404864,76400829,164,JoshisakingHD,BRONZE
172,37,129325,202,105806,45,64085,229688800,69341945,233,Mr Géntleman,SILVER
173,107,500045,29,299603,222,229888,231194318,72061089,164,avatar azar,SILVER
174,76,40887,11,35372,421,34462,217702579,55860670,314,NA cure,SILVER
175,1,62344,89,61235,99,60889,213083549,50512843,230,erional,BRONZE
176,222,901669,202,178828,53,121483,229553970,68993787,126,Drop The Lantern,SILVER
177,412,232279,157,169987,37,99291,236197047,82701390,327,GinDThang,BRONZE
178,64,127882,92,93646,157,80358,235323941,80949995,274,Bánh Xu Xê,GOLD
179,115,45672,245,39439,63,37791,34088816,20912216,358,PHoN3Y,SILVER
180,150,368684,63,210516,24,186487,220062139,58961009,326,NA Red,SILVER
